locale,key,fr_value,current_value,draft_value
af,compte_created_subject,"Ouverture de compte - TRANSFERFLUX","Ouverture de compte - TRANSFERFLUX [MT]","Ouverture de compte - TRANSFERFLUX [MT]"
af,compte_created_title,"Ouverture de compte sur TRANSFERFLUX","Ouverture de compte sur TRANSFERFLUX [MT]","Ouverture de compte sur TRANSFERFLUX [MT]"
af,greeting,"Bonjour :name,","Bonjour :name, [MT]","Bonjour :name, [MT]"
af,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount.","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]","Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de :amount. [MT]"
af,credentials_title,"Vos identifiants sont:","Vos identifiants sont: [MT]","Vos identifiants sont: [MT]"
af,label_email,Email,"Email [MT]","Email [MT]"
af,label_password,"Mot de passe","Mot de passe [MT]","Mot de passe [MT]"
af,label_initial_balance,"💰 Solde initial:","💰 Solde initial: [MT]","💰 Solde initial: [MT]"
af,cta_login,"Connectez-vous à votre espace client","Connectez-vous à votre espace client [MT]","Connectez-vous à votre espace client [MT]"
af,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]","Vous pouvez maintenant accéder à votre compte et profiter de nos services. [MT]"
af,support_contact,"contactez notre support","contactez notre support [MT]","contactez notre support [MT]"
af,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !","Merci d\'utiliser TRANSFERFLUX ! [MT]","Merci d\'utiliser TRANSFERFLUX ! [MT]"
af,footer_brand,TRANSFERFLUX,"TRANSFERFLUX [MT]","TRANSFERFLUX [MT]"
af,footer_partner,"Votre partenaire financier de confiance 🏦","Votre partenaire financier de confiance 🏦 [MT]","Votre partenaire financier de confiance 🏦 [MT]"
af,virement_success_subject,"Virement effectué avec succès - TRANSFERFLUX","Virement effectué avec succès - TRANSFERFLUX [MT]","Virement effectué avec succès - TRANSFERFLUX [MT]"
af,virement_success_title,"Virement Effectué avec Succès","Virement Effectué avec Succès [MT]","Virement Effectué avec Succès [MT]"
af,virement_success_message,"Nous vous informons que votre virement a été effectué avec succès.","Nous vous informons que votre virement a été effectué avec succès. [MT]","Nous vous informons que votre virement a été effectué avec succès. [MT]"
af,virement_failed_subject,"Échec de virement - TRANSFERFLUX","Échec de virement - TRANSFERFLUX [MT]","Échec de virement - TRANSFERFLUX [MT]"
af,virement_failed_title,"Échec de Virement","Échec de Virement [MT]","Échec de Virement [MT]"
af,virement_failed_message,"Nous vous informons que votre virement a échoué.","Nous vous informons que votre virement a échoué. [MT]","Nous vous informons que votre virement a échoué. [MT]"
af,details_title,"Détails du virement","Détails du virement [MT]","Détails du virement [MT]"
af,label_amount,"💰 Montant :","💰 Montant : [MT]","💰 Montant : [MT]"
af,label_date,"📅 Date :","📅 Date : [MT]","📅 Date : [MT]"
af,label_beneficiary,"👤 Bénéficiaire :","👤 Bénéficiaire : [MT]","👤 Bénéficiaire : [MT]"
af,virement_notice,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables.","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]","Le traitement du transfert sera effectué dans les 1-3 jours ouvrables. [MT]"
af,thanks,"Merci,","Merci, [MT]","Merci, [MT]"
af,contact_support_for_info,"Pour plus d'informations, veuillez contacter notre service client.","Pour plus d'informations, veuillez contacter notre service client. [MT]","Pour plus d'informations, veuillez contacter notre service client. [MT]"
af,regards,"Cordialement,","Cordialement, [MT]","Cordialement, [MT]"
af,service_client,"Service Client","Service Client [MT]","Service Client [MT]"
af,auto_generated_notice,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement.","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]","Cet email a été envoyé automatiquement, merci de ne pas y répondre directement. [MT]"
af,compte_activated_title,"Compte Activé - TRANSFERFLUX","Compte Activé - TRANSFERFLUX [MT]","Compte Activé - TRANSFERFLUX [MT]"
af,compte_activated_heading,"Compte Activé avec Succès","Compte Activé avec Succès [MT]","Compte Activé avec Succès [MT]"
af,good_news,"✅ Bonne nouvelle :","✅ Bonne nouvelle : [MT]","✅ Bonne nouvelle : [MT]"
af,compte_activated_message,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]","Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel ! [MT]"
af,compte_activated_explanation,"Vous pouvez effectuer toutes vos transactions en toute sécurité.","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]","Vous pouvez effectuer toutes vos transactions en toute sécurité. [MT]"
af,label_holder,Titulaire,"Titulaire [MT]","Titulaire [MT]"
af,label_current_balance,"Solde actuel","Solde actuel [MT]","Solde actuel [MT]"
af,label_status,Statut,"Statut [MT]","Statut [MT]"
af,status_active,ACTIVÉ,"ACTIVÉ [MT]","ACTIVÉ [MT]"
af,you_can_now,"Vous pouvez maintenant :","Vous pouvez maintenant : [MT]","Vous pouvez maintenant : [MT]"
af,can_make_transfers,"Effectuer des virements et transferts","Effectuer des virements et transferts [MT]","Effectuer des virements et transferts [MT]"
af,check_balance,"Consulter votre solde en temps réel","Consulter votre solde en temps réel [MT]","Consulter votre solde en temps réel [MT]"
af,manage_transactions,"Gérer vos transactions en toute sécurité","Gérer vos transactions en toute sécurité [MT]","Gérer vos transactions en toute sécurité [MT]"
af,access_services,"Accéder à tous nos services bancaires","Accéder à tous nos services bancaires [MT]","Accéder à tous nos services bancaires [MT]"
af,thanks_welcome,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]","Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX ! [MT]"
af,unlock_code_used_title,"Code de Déblocage Utilisé - TRANSFERFLUX","Code de Déblocage Utilisé - TRANSFERFLUX [MT]","Code de Déblocage Utilisé - TRANSFERFLUX [MT]"
af,unlock_code_used_heading,"Code de Déblocage Utilisé","Code de Déblocage Utilisé [MT]","Code de Déblocage Utilisé [MT]"
af,greeting_simple,"Bonjour,","Bonjour, [MT]","Bonjour, [MT]"
af,info_notification,"ℹ️ Notification :","ℹ️ Notification : [MT]","ℹ️ Notification : [MT]"
af,unlock_code_used_alert,"Un code de déblocage vient d'être utilisé sur votre compte.","Un code de déblocage vient d'être utilisé sur votre compte. [MT]","Un code de déblocage vient d'être utilisé sur votre compte. [MT]"
af,unlock_code_used_explanation,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction.","Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction. [MT]","Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction. [MT]"
af,label_date_time,"Date et heure","Date et heure [MT]","Date et heure [MT]"
af,label_transfer_amount,"Montant du transfert","Montant du transfert [MT]","Montant du transfert [MT]"
af,label_recipient,Destinataire,"Destinataire [MT]","Destinataire [MT]"
af,urgent_if_not_you,"⚠️ Si vous n'êtes pas à l'origine de cette action :","⚠️ Si vous n'êtes pas à l'origine de cette action : [MT]","⚠️ Si vous n'êtes pas à l'origine de cette action : [MT]"
af,contact_support_immediately,"Contactez immédiatement notre service client","Contactez immédiatement notre service client [MT]","Contactez immédiatement notre service client [MT]"
af,check_recent_transactions,"Vérifiez toutes vos transactions récentes","Vérifiez toutes vos transactions récentes [MT]","Vérifiez toutes vos transactions récentes [MT]"
af,change_access_codes,"Changez vos codes d'accès par mesure de sécurité","Changez vos codes d'accès par mesure de sécurité [MT]","Changez vos codes d'accès par mesure de sécurité [MT]"
af,if_legitimate,"✅ Si cette action est légitime :","✅ Si cette action est légitime : [MT]","✅ Si cette action est légitime : [MT]"
af,client_can_finalize,"Votre client peut maintenant finaliser sa transaction en toute sécurité.","Votre client peut maintenant finaliser sa transaction en toute sécurité. [MT]","Votre client peut maintenant finaliser sa transaction en toute sécurité. [MT]"
af,transfer_unlock_code_title,"Code de déblocage - TRANSFERFLUX","Code de déblocage - TRANSFERFLUX [MT]","Code de déblocage - TRANSFERFLUX [MT]"
af,transfer_unlock_heading,"Code de déblocage du virement","Code de déblocage du virement [MT]","Code de déblocage du virement [MT]"
af,transfer_unlock_message_intro,"Votre code de déblocage pour le virement est indiqué ci-dessous :","Votre code de déblocage pour le virement est indiqué ci-dessous : [MT]","Votre code de déblocage pour le virement est indiqué ci-dessous : [MT]"
af,transfer_unlock_code_label,"Le code est :","Le code est : [MT]","Le code est : [MT]"
af,your_unlock_code,"Votre Code de Déblocage","Votre Code de Déblocage [MT]","Votre Code de Déblocage [MT]"
af,do_not_share_unlock_code,"Ne partagez pas votre code de déblocage !!","Ne partagez pas votre code de déblocage !! [MT]","Ne partagez pas votre code de déblocage !! [MT]"
af,unlock_code_personal_confidential,"Ce code est strictement personnel et confidentiel.","Ce code est strictement personnel et confidentiel. [MT]","Ce code est strictement personnel et confidentiel. [MT]"
af,unlock_code_needed_finalize,"Ce code est nécessaire pour finaliser votre opération de transfert.","Ce code est nécessaire pour finaliser votre opération de transfert. [MT]","Ce code est nécessaire pour finaliser votre opération de transfert. [MT]"
af,contact_support_for_questions,"Pour toute question, contactez notre service client.","Pour toute question, contactez notre service client. [MT]","Pour toute question, contactez notre service client. [MT]"
af,welcome_title,"Bienvenue - TRANSFERFLUX","Bienvenue - TRANSFERFLUX [MT]","Bienvenue - TRANSFERFLUX [MT]"
af,welcome_heading,"Bienvenue sur FLASH BILAN","Bienvenue sur FLASH BILAN [MT]","Bienvenue sur FLASH BILAN [MT]"
af,welcome_message,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !","Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir ! [MT]","Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir ! [MT]"
af,login_credentials_title,"📧 Vos identifiants de connexion :","📧 Vos identifiants de connexion : [MT]","📧 Vos identifiants de connexion : [MT]"
af,access_member_area,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités.","Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités. [MT]","Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités. [MT]"
af,pleasure_to_assist,"Au plaisir de vous accompagner dans vos opérations financières !","Au plaisir de vous accompagner dans vos opérations financières ! [MT]","Au plaisir de vous accompagner dans vos opérations financières ! [MT]"
af,balance_decreased_title,"Diminution de solde - TRANSFERFLUX","Diminution de solde - TRANSFERFLUX [MT]","Diminution de solde - TRANSFERFLUX [MT]"
