locale,key,locale_value,status,fr_value
af,compte_created_subject,"Ouverture de compte - TRANSFERFLUX",placeholder,"Ouverture de compte - TRANSFERFLUX"
af,compte_created_title,"Ouverture de compte sur TRANSFERFLUX",placeholder,"Ouverture de compte sur TRANSFERFLUX"
af,greeting,"Bonjour :name,",placeholder,"Bonjour :name,"
af,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de <strong>:balance :currency</strong>.",placeholder,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de <strong>:balance :currency</strong>."
af,credentials_title,"Vos identifiants sont:",placeholder,"Vos identifiants sont:"
af,label_email,Email,placeholder,Email
af,label_password,"Mot de passe",placeholder,"Mot de passe"
af,label_initial_balance,"💰 Solde initial:",placeholder,"💰 Solde initial:"
af,cta_login,"Connectez-vous à votre espace client",placeholder,"Connectez-vous à votre espace client"
af,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.",placeholder,"Vous pouvez maintenant accéder à votre compte et profiter de nos services."
af,support_contact,"Si vous avez des questions ou si vous avez besoin de plus d'informations, <a href=""#"" class=""support-link"">contactez notre support</a>.",placeholder,"Si vous avez des questions ou si vous avez besoin de plus d'informations, <a href=""#"" class=""support-link"">contactez notre support</a>."
af,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !",placeholder,"Merci d\'utiliser TRANSFERFLUX !"
af,footer_brand,TRANSFERFLUX,placeholder,TRANSFERFLUX
af,footer_partner,"Votre partenaire financier de confiance 🏦",placeholder,"Votre partenaire financier de confiance 🏦"
af,virement_success_subject,"Virement effectué avec succès - TRANSFERFLUX",placeholder,"Virement effectué avec succès - TRANSFERFLUX"
af,virement_success_title,"Virement Effectué avec Succès",placeholder,"Virement Effectué avec Succès"
af,virement_success_message,"Nous vous informons que votre virement a été effectué avec succès.",placeholder,"Nous vous informons que votre virement a été effectué avec succès."
af,virement_failed_subject,"Échec de virement - TRANSFERFLUX",placeholder,"Échec de virement - TRANSFERFLUX"
af,virement_failed_title,"Échec de Virement",placeholder,"Échec de Virement"
af,virement_failed_message,"Nous vous informons que votre virement a échoué.",placeholder,"Nous vous informons que votre virement a échoué."
af,details_title,"Détails du virement",placeholder,"Détails du virement"
af,label_amount,"💰 Montant :",placeholder,"💰 Montant :"
af,label_date,"📅 Date :",placeholder,"📅 Date :"
af,label_beneficiary,"👤 Bénéficiaire :",placeholder,"👤 Bénéficiaire :"
af,virement_notice,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables.",placeholder,"Le traitement du transfert sera effectué dans les 1-3 jours ouvrables."
af,thanks,"Merci,",placeholder,"Merci,"
af,contact_support_for_info,"Pour plus d'informations, veuillez contacter notre service client.",placeholder,"Pour plus d'informations, veuillez contacter notre service client."
af,regards,"Cordialement,",placeholder,"Cordialement,"
af,service_client,"Service Client",placeholder,"Service Client"
af,auto_generated_notice,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement.",placeholder,"Cet email a été envoyé automatiquement, merci de ne pas y répondre directement."
af,compte_activated_title,"Compte Activé - TRANSFERFLUX",placeholder,"Compte Activé - TRANSFERFLUX"
af,compte_activated_heading,"Compte Activé avec Succès",placeholder,"Compte Activé avec Succès"
af,good_news,"✅ Bonne nouvelle :",placeholder,"✅ Bonne nouvelle :"
af,compte_activated_message,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !",placeholder,"Votre compte TRANSFERFLUX a été activé et est désormais pleinement opérationnel !"
af,compte_activated_explanation,"Vous pouvez effectuer toutes vos transactions en toute sécurité.",placeholder,"Vous pouvez effectuer toutes vos transactions en toute sécurité."
af,label_holder,Titulaire,placeholder,Titulaire
af,label_current_balance,"Solde actuel",placeholder,"Solde actuel"
af,label_status,Statut,placeholder,Statut
af,status_active,ACTIVÉ,placeholder,ACTIVÉ
af,you_can_now,"Vous pouvez maintenant :",placeholder,"Vous pouvez maintenant :"
af,can_make_transfers,"Effectuer des virements et transferts",placeholder,"Effectuer des virements et transferts"
af,check_balance,"Consulter votre solde en temps réel",placeholder,"Consulter votre solde en temps réel"
af,manage_transactions,"Gérer vos transactions en toute sécurité",placeholder,"Gérer vos transactions en toute sécurité"
af,access_services,"Accéder à tous nos services bancaires",placeholder,"Accéder à tous nos services bancaires"
af,thanks_welcome,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !",placeholder,"Merci de votre confiance et bienvenue dans la famille TRANSFERFLUX !"
af,unlock_code_used_title,"Code de Déblocage Utilisé - TRANSFERFLUX",placeholder,"Code de Déblocage Utilisé - TRANSFERFLUX"
af,unlock_code_used_heading,"Code de Déblocage Utilisé",placeholder,"Code de Déblocage Utilisé"
af,greeting_simple,"Bonjour,",placeholder,"Bonjour,"
af,info_notification,"ℹ️ Notification :",placeholder,"ℹ️ Notification :"
af,unlock_code_used_alert,"Un code de déblocage vient d'être utilisé sur votre compte.",placeholder,"Un code de déblocage vient d'être utilisé sur votre compte."
af,unlock_code_used_explanation,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction.",placeholder,"Nous vous informons qu'un code de déblocage a été saisi et validé pour une transaction."
af,label_date_time,"Date et heure",placeholder,"Date et heure"
af,label_transfer_amount,"Montant du transfert",placeholder,"Montant du transfert"
af,label_recipient,Destinataire,placeholder,Destinataire
af,urgent_if_not_you,"⚠️ Si vous n'êtes pas à l'origine de cette action :",placeholder,"⚠️ Si vous n'êtes pas à l'origine de cette action :"
af,contact_support_immediately,"Contactez immédiatement notre service client",placeholder,"Contactez immédiatement notre service client"
af,check_recent_transactions,"Vérifiez toutes vos transactions récentes",placeholder,"Vérifiez toutes vos transactions récentes"
af,change_access_codes,"Changez vos codes d'accès par mesure de sécurité",placeholder,"Changez vos codes d'accès par mesure de sécurité"
af,if_legitimate,"✅ Si cette action est légitime :",placeholder,"✅ Si cette action est légitime :"
af,client_can_finalize,"Votre client peut maintenant finaliser sa transaction en toute sécurité.",placeholder,"Votre client peut maintenant finaliser sa transaction en toute sécurité."
af,transfer_unlock_code_title,"Code de déblocage - TRANSFERFLUX",placeholder,"Code de déblocage - TRANSFERFLUX"
af,transfer_unlock_heading,"Code de déblocage du virement",placeholder,"Code de déblocage du virement"
af,transfer_unlock_message_intro,"Votre code de déblocage pour le virement est indiqué ci-dessous :",placeholder,"Votre code de déblocage pour le virement est indiqué ci-dessous :"
af,transfer_unlock_code_label,"Le code est :",placeholder,"Le code est :"
af,your_unlock_code,"Votre Code de Déblocage",placeholder,"Votre Code de Déblocage"
af,do_not_share_unlock_code,"Ne partagez pas votre code de déblocage !!",placeholder,"Ne partagez pas votre code de déblocage !!"
af,unlock_code_personal_confidential,"Ce code est strictement personnel et confidentiel.",placeholder,"Ce code est strictement personnel et confidentiel."
af,unlock_code_needed_finalize,"Ce code est nécessaire pour finaliser votre opération de transfert.",placeholder,"Ce code est nécessaire pour finaliser votre opération de transfert."
af,contact_support_for_questions,"Pour toute question, contactez notre service client.",placeholder,"Pour toute question, contactez notre service client."
af,welcome_title,"Bienvenue - TRANSFERFLUX",placeholder,"Bienvenue - TRANSFERFLUX"
af,welcome_heading,"Bienvenue sur FLASH COMPTE",placeholder,"Bienvenue sur FLASH COMPTE"
af,welcome_message,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !",placeholder,"Merci d'avoir créé un compte. Nous sommes ravis de vous accueillir !"
af,login_credentials_title,"📧 Vos identifiants de connexion :",placeholder,"📧 Vos identifiants de connexion :"
af,access_member_area,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités.",placeholder,"Vous pouvez accéder à l'espace membre de votre compte pour visualiser nos services et profiter de toutes nos fonctionnalités."
af,pleasure_to_assist,"Au plaisir de vous accompagner dans vos opérations financières !",placeholder,"Au plaisir de vous accompagner dans vos opérations financières !"
af,balance_decreased_title,"Diminution de solde - TRANSFERFLUX",placeholder,"Diminution de solde - TRANSFERFLUX"
af,balance_decreased_heading,"Diminution de Solde",placeholder,"Diminution de Solde"
af,balance_decreased_message,"Nous souhaitons vous informer que votre solde a été diminué.",placeholder,"Nous souhaitons vous informer que votre solde a été diminué."
af,operation_details,"Détails de l'opération",placeholder,"Détails de l'opération"
af,label_amount_deducted,"Montant déduit",placeholder,"Montant déduit"
af,label_new_balance,"Nouveau solde",placeholder,"Nouveau solde"
af,contact_us_if_questions,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.",placeholder,"Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter."
af,balance_increased_title,"Augmentation de solde - TRANSFERFLUX",placeholder,"Augmentation de solde - TRANSFERFLUX"
af,balance_increased_heading,"Augmentation de Solde",placeholder,"Augmentation de Solde"
af,balance_increased_message,"Nous souhaitons vous informer que votre solde a été augmenté avec succès.",placeholder,"Nous souhaitons vous informer que votre solde a été augmenté avec succès."
af,label_amount_added,"Montant ajouté",placeholder,"Montant ajouté"
af,thank_you_trust,"Merci de votre confiance !",placeholder,"Merci de votre confiance !"
af,refund_title,"Remboursement - TRANSFERFLUX",placeholder,"Remboursement - TRANSFERFLUX"
af,refund_heading,"Échec de Virement / Remboursement du Solde",placeholder,"Échec de Virement / Remboursement du Solde"
af,refund_message,"Nous regrettons de vous informer que votre tentative de virement a échoué.",placeholder,"Nous regrettons de vous informer que votre tentative de virement a échoué."
af,transfer_details,"Détails du virement",placeholder,"Détails du virement"
af,label_transfer_date,"Date du Virement",placeholder,"Date du Virement"
af,label_transfer_reason,"Motif du Virement",placeholder,"Motif du Virement"
af,refund_amount_text,"Le montant de <strong>:amount</strong> a été remboursé sur votre compte.",placeholder,"Le montant de <strong>:amount</strong> a été remboursé sur votre compte."
af,refund_apology_contact,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter.",placeholder,"Nous nous excusons pour la gêne occasionnée. Si vous avez des questions ou avez besoin d'assistance, n'hésitez pas à nous contacter."
af,mail_error_alert_title,"Alerte Échec Email",placeholder,"Alerte Échec Email"
af,system_alert,"⚠️ ALERTE SYSTÈME",placeholder,"⚠️ ALERTE SYSTÈME"
af,mail_send_failure_detected,"Échec d'envoi d'email détecté",placeholder,"Échec d'envoi d'email détecté"
af,email_sending_problem,"Problème d'envoi d'email",placeholder,"Problème d'envoi d'email"
af,email_send_failure_explanation,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP.",placeholder,"Un email n'a pas pu être envoyé. Cela peut indiquer que la limite quotidienne a été atteinte ou qu'il y a un problème avec le serveur SMTP."
af,error_details,"Détails de l'erreur",placeholder,"Détails de l'erreur"
af,label_failed_recipient,"Destinataire concerné",placeholder,"Destinataire concerné"
af,label_context,Contexte,placeholder,Contexte
af,label_error_message,"Message d'erreur",placeholder,"Message d'erreur"
af,possible_causes,"Causes possibles",placeholder,"Causes possibles"
af,cause_daily_limit,"Limite quotidienne atteinte",placeholder,"Limite quotidienne atteinte"
af,cause_daily_limit_details,"La plateforme d'envoi peut limiter le nombre d'emails par jour.",placeholder,"La plateforme d'envoi peut limiter le nombre d'emails par jour."
af,cause_smtp_connection,"Problème de connexion SMTP",placeholder,"Problème de connexion SMTP"
af,cause_smtp_connection_details,"Le serveur SMTP peut être temporairement indisponible.",placeholder,"Le serveur SMTP peut être temporairement indisponible."
af,cause_auth_failed,"Authentification échouée",placeholder,"Authentification échouée"
af,cause_auth_failed_details,"Vérifiez les identifiants dans le fichier .env",placeholder,"Vérifiez les identifiants dans le fichier .env"
af,cause_app_password_revoked,"Mot de passe d'application expiré",placeholder,"Mot de passe d'application expiré"
af,cause_app_password_revoked_details,"Le mot de passe d'application peut avoir été révoqué ou expiré.",placeholder,"Le mot de passe d'application peut avoir été révoqué ou expiré."
af,recommended_actions,"Actions recommandées",placeholder,"Actions recommandées"
af,action_if_limit,"Si limite atteinte",placeholder,"Si limite atteinte"
af,action_if_limit_details,"Attendez jusqu'à demain (réinitialisation à minuit PST).",placeholder,"Attendez jusqu'à demain (réinitialisation à minuit PST)."
af,action_check_logs,"Vérifier les logs",placeholder,"Vérifier les logs"
af,action_check_logs_details,"Consultez storage/logs/laravel.log",placeholder,"Consultez storage/logs/laravel.log"
af,action_test_connection,"Tester la connexion",placeholder,"Tester la connexion"
af,action_check_config,"Vérifier la configuration",placeholder,"Vérifier la configuration"
af,action_check_config_details,"Contrôlez les paramètres SMTP dans le fichier .env",placeholder,"Contrôlez les paramètres SMTP dans le fichier .env"
af,action_regenerate_password,"Régénérer le mot de passe",placeholder,"Régénérer le mot de passe"
af,action_regenerate_password_details,"Si nécessaire, créez un nouveau mot de passe d'application.",placeholder,"Si nécessaire, créez un nouveau mot de passe d'application."
af,system_information,"Informations système",placeholder,"Informations système"
af,label_smtp_server,"Serveur SMTP",placeholder,"Serveur SMTP"
af,label_port,Port,placeholder,Port
af,label_account,Compte,placeholder,Compte
af,label_environment,Environnement,placeholder,Environnement
af,alert_auto_generated_notice,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés.",placeholder,"Cette alerte est automatique. L'application continue de fonctionner normalement, mais les emails ne sont pas envoyés."
af,account_management_system,"Système de gestion des comptes",placeholder,"Système de gestion des comptes"
af,alert_generated_by_safemail,"Cette alerte a été générée automatiquement par le système SafeMailService",placeholder,"Cette alerte a été générée automatiquement par le système SafeMailService"
af,contact_technical_team,"Pour toute question, contactez votre équipe technique",placeholder,"Pour toute question, contactez votre équipe technique"
af,password_reset_title,"Réinitialisation de mot de passe - TRANSFERFLUX",placeholder,"Réinitialisation de mot de passe - TRANSFERFLUX"
af,password_reset_heading,"Réinitialisation de mot de passe",placeholder,"Réinitialisation de mot de passe"
af,greeting_simple_name,"Bonjour :name,",placeholder,"Bonjour :name,"
af,password_reset_reason,"Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe.",placeholder,"Vous recevez cet e-mail car nous avons reçu une demande de réinitialisation de votre mot de passe."
af,password_reset_click_link,"Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe :",placeholder,"Veuillez cliquer sur le lien ci-dessous pour réinitialiser votre mot de passe :"
af,password_reset_no_action_needed,"Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise.",placeholder,"Si vous n'avez pas demandé de réinitialisation de mot de passe, aucune autre action n'est requise."
af,thank_you_using_brand,"Merci d'utiliser TRANSFERFLUX !",placeholder,"Merci d'utiliser TRANSFERFLUX !"
am,compte_created_subject,"Ouverture de compte - TRANSFERFLUX",placeholder,"Ouverture de compte - TRANSFERFLUX"
am,compte_created_title,"Ouverture de compte sur TRANSFERFLUX",placeholder,"Ouverture de compte sur TRANSFERFLUX"
am,greeting,"Bonjour :name,",placeholder,"Bonjour :name,"
am,compte_created_message,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de <strong>:balance :currency</strong>.",placeholder,"Nous avons le plaisir de vous informer que votre compte a été créé avec succès et crédité d'un montant de <strong>:balance :currency</strong>."
am,credentials_title,"Vos identifiants sont:",placeholder,"Vos identifiants sont:"
am,label_email,Email,placeholder,Email
am,label_password,"Mot de passe",placeholder,"Mot de passe"
am,label_initial_balance,"💰 Solde initial:",placeholder,"💰 Solde initial:"
am,cta_login,"Connectez-vous à votre espace client",placeholder,"Connectez-vous à votre espace client"
am,info_access,"Vous pouvez maintenant accéder à votre compte et profiter de nos services.",placeholder,"Vous pouvez maintenant accéder à votre compte et profiter de nos services."
am,support_contact,"Si vous avez des questions ou si vous avez besoin de plus d'informations, <a href=""#"" class=""support-link"">contactez notre support</a>.",placeholder,"Si vous avez des questions ou si vous avez besoin de plus d'informations, <a href=""#"" class=""support-link"">contactez notre support</a>."
am,footer_thanks,"Merci d\'utiliser TRANSFERFLUX !",placeholder,"Merci d\'utiliser TRANSFERFLUX !"
am,footer_brand,TRANSFERFLUX,placeholder,TRANSFERFLUX
am,footer_partner,"Votre partenaire financier de confiance 🏦",placeholder,"Votre partenaire financier de confiance 🏦"
am,virement_success_subject,"Virement effectué avec succès - TRANSFERFLUX",placeholder,"Virement effectué avec succès - TRANSFERFLUX"
am,virement_success_title,"Virement Effectué avec Succès",placeholder,"Virement Effectué avec Succès"
am,virement_success_message,"Nous vous informons que votre virement a été effectué avec succès.",placeholder,"Nous vous informons que votre virement a été effectué avec succès."
am,virement_failed_subject,"Échec de virement - TRANSFERFLUX",placeholder,"Échec de virement - TRANSFERFLUX"
am,virement_failed_title,"Échec de Virement",placeholder,"Échec de Virement"
am,virement_failed_message,"Nous vous informons que votre virement a échoué.",placeholder,"Nous vous informons que votre virement a échoué."
am,details_title,"Détails du virement",placeholder,"Détails du virement"
am,label_amount,"💰 Montant :",placeholder,"💰 Montant :"
